City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Mokhsogollokh,RU,2022-02-03 02:41:55,61.4681,128.9203,-13.86,91,98,3.0
216,Pisco,PE,2022-02-03 02:41:56,-13.7,-76.2167,68.05,83,0,13.8
217,Brae,GB,2022-02-03 02:41:56,60.3964,-1.353,44.51,96,100,13.49
218,Mhlume,SZ,2022-02-03 02:41:56,-26.0333,31.85,69.87,97,10,4.0
219,Oktyabrskiy,RU,2022-02-03 02:41:57,54.4815,53.471,28.27,95,100,14.32
220,Almansa,ES,2022-02-03 02:41:57,38.8692,-1.0971,43.61,49,39,4.09
221,Neryungri,RU,2022-02-03 02:41:58,56.6709,124.6491,-8.43,91,100,11.88
222,Porto Walter,BR,2022-02-03 02:41:58,-8.2686,-72.7439,74.86,84,100,0.89
223,Saint-Denis,FR,2022-02-03 02:42:59,48.9167,2.3333,47.23,77,100,4.0
224,Durango,MX,2022-02-03 02:38:49,24.8333,-104.8333,51.42,45,97,11.79
225,Aberdeen,GB,2022-02-03 02:40:50,57.1437,-2.0981,49.5,83,100,6.91
226,Basti,IN,2022-02-03 02:43:00,26.8,82.7167,57.47,63,55,10.87
227,Hilo,US,2022-02-03 02:41:00,19.7297,-155.09,76.24,78,100,11.5
228,Bloemhof,ZA,2022-02-03 02:43:00,-27.6469,25.607,69.46,69,12,7.54
229,Egvekinot,RU,2022-02-03 02:43:01,66.3167,-179.1667,-9.2,77,6,20.15
230,Coahuayana,MX,2022-02-03 02:43:01,18.7333,-103.6833,76.48,83,0,2.39
231,Ternate,ID,2022-02-03 02:43:02,0.8,127.4,82.47,71,100,3.06
232,Clyde River,CA,2022-02-03 02:43:02,70.4692,-68.5914,-16.37,76,100,16.11
233,Dukat,RU,2022-02-03 02:43:03,62.55,155.55,-7.78,88,49,6.89
234,Pangody,RU,2022-02-03 02:43:03,65.85,74.4859,4.35,96,100,12.95
235,Souillac,MU,2022-02-03 02:43:04,-20.5167,57.5167,80.37,94,75,25.32
236,Baoshan,CN,2022-02-03 02:43:04,46.5586,131.4244,8.28,71,34,13.47
237,San Miguel,SV,2022-02-03 02:43:05,13.4833,-88.1833,72.09,88,4,1.99
238,Yuli,NG,2022-02-03 02:43:05,9.6989,10.2744,64.62,16,27,6.38
239,Xining,CN,2022-02-03 02:43:06,36.6167,101.7667,18.48,46,3,3.02
240,Yanam,IN,2022-02-03 02:43:06,16.7333,82.2167,72.0,66,84,1.16
241,Turukhansk,RU,2022-02-03 02:43:07,65.8167,87.9833,-13.11,99,56,6.96
242,Kaseda,JP,2022-02-03 02:43:07,31.4167,130.3167,43.84,70,100,11.5
243,Norman Wells,CA,2022-02-03 02:43:07,65.282,-126.8329,-27.36,68,75,2.3
244,Luderitz,NA,2022-02-03 02:43:08,-26.6481,15.1594,67.41,79,65,5.06
245,Riyadh,SA,2022-02-03 02:40:13,24.6877,46.7219,50.14,38,0,5.06
246,Sandpoint,US,2022-02-03 02:40:51,48.2766,-116.5533,22.68,72,100,0.0
247,Saskylakh,RU,2022-02-03 02:43:09,71.9167,114.0833,-32.42,100,17,2.15
248,Kalmunai,LK,2022-02-03 02:43:09,7.4167,81.8167,77.77,69,53,3.29
249,Badiraguato,MX,2022-02-03 02:43:10,25.3667,-107.5167,65.25,69,100,6.98
250,Los Llanos De Aridane,ES,2022-02-03 02:43:10,28.6585,-17.9182,68.13,59,0,14.0
251,Pacific Grove,US,2022-02-03 02:43:11,36.6177,-121.9166,57.42,41,0,1.01
252,Kinsale,IE,2022-02-03 02:43:11,51.7075,-8.5306,45.77,100,75,9.22
253,Richards Bay,ZA,2022-02-03 02:43:11,-28.783,32.0377,75.7,84,2,15.05
254,Pevek,RU,2022-02-03 02:43:12,69.7008,170.3133,-6.7,73,3,3.44
255,Flinders,AU,2022-02-03 02:43:03,-34.5833,150.8552,77.18,55,61,11.01
256,Touros,BR,2022-02-03 02:43:13,-5.1989,-35.4608,79.7,78,54,10.87
257,Uray,RU,2022-02-03 02:43:13,60.1247,64.7758,12.06,96,78,7.45
258,Saint-Georges,GD,2022-02-03 02:43:13,12.0564,-61.7485,78.48,78,20,17.27
